date,scenario,simulation_type,n_workers,n_points,rad_par,runtime [sec]
2024-02-28T01:51:24,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,43.12
2024-02-28T01:53:22,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,41.77
2024-02-28T01:54:50,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,40.72
2024-02-28T02:10:16,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,38.2
2024-02-28T09:56:07,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,37.56
2024-02-28T09:57:03,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,36.56
2024-02-28T09:58:55,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,35.87
2024-02-28T10:02:24,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,39.89
2024-02-28T10:06:44,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,37.69
2024-02-28T10:15:41,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,38.76
2024-02-28T10:17:19,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,38.11
2024-02-28T10:23:21,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,36.08
2024-02-28T10:31:59,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,37.48
2024-02-28T10:50:31,mask_circle_10,irradiance,7,494,-ad 256 -lw 1.0e-5 -dc 1 -dt 0 -dj 0 -lw 1.0e-5 -ab 6 -ad 4096,35.19
