,B1960_roof,B1960_facade,B1357_facade
,0,1,2
01.01.2023 00:00,15.591,15.591,11.539
01.01.2023 01:00,15.576,15.576,11.539
01.01.2023 02:00,15.928,15.928,11.539
01.01.2023 03:00,15.93,15.93,11.539
01.01.2023 04:00,15.743,15.743,11.539
01.01.2023 05:00,19.765,19.765,11.539
01.01.2023 06:00,53.35,53.35,11.539
01.01.2023 07:00,76.263,76.263,11.539
01.01.2023 08:00,97.808,97.808,11.539
01.01.2023 09:00,106.832,106.832,11.539
01.01.2023 10:00,115.432,115.432,11.539
01.01.2023 11:00,98.864,98.864,11.539
01.01.2023 12:00,85.471,85.471,11.539
01.01.2023 13:00,84.695,84.695,11.539
01.01.2023 14:00,107.556,107.556,11.539
01.01.2023 15:00,94.068,94.068,11.539
01.01.2023 16:00,81.314,81.314,11.539
01.01.2023 17:00,56.757,56.757,11.539
01.01.2023 18:00,44.487,44.487,11.539
01.01.2023 19:00,48.903,48.903,11.539
01.01.2023 20:00,32.519,32.519,11.539
01.01.2023 21:00,19.73,19.73,11.539
01.01.2023 22:00,19.183,19.183,11.539
01.01.2023 23:00,15.862,15.862,11.539
02.01.2023 00:00,15.595,15.595,11.539
02.01.2023 01:00,15.584,15.584,11.539
02.01.2023 02:00,15.942,15.942,11.539
02.01.2023 03:00,15.946,15.946,11.539
02.01.2023 04:00,15.754,15.754,11.539
02.01.2023 05:00,19.753,19.753,11.539
02.01.2023 06:00,56.21,56.21,11.539
02.01.2023 07:00,83.923,83.923,11.539
02.01.2023 08:00,105.8,105.8,11.539
02.01.2023 09:00,115.907,115.907,11.539
02.01.2023 10:00,125.367,125.367,11.539
02.01.2023 11:00,108.788,108.788,11.539
02.01.2023 12:00,95.404,95.404,11.539
02.01.2023 13:00,93.96,93.96,11.539
02.01.2023 14:00,114.884,114.884,11.539
02.01.2023 15:00,100.875,100.875,11.539
02.01.2023 16:00,87.341,87.341,11.539
02.01.2023 17:00,62.415,62.415,11.539
02.01.2023 18:00,48.028,48.028,11.539
02.01.2023 19:00,52.566,52.566,11.539
02.01.2023 20:00,34.489,34.489,11.539
02.01.2023 21:00,19.991,19.991,11.539
02.01.2023 22:00,19.183,19.183,11.539
02.01.2023 23:00,15.869,15.869,11.539
03.01.2023 00:00,15.604,15.604,11.539
03.01.2023 01:00,15.594,15.594,11.539
03.01.2023 02:00,15.961,15.961,11.539
03.01.2023 03:00,15.966,15.966,11.539
03.01.2023 04:00,15.771,15.771,11.539
03.01.2023 05:00,19.807,19.807,11.539
03.01.2023 06:00,60.602,60.602,11.539
03.01.2023 07:00,93.628,93.628,21.769
03.01.2023 08:00,113.503,113.503,58.698
03.01.2023 09:00,123.861,123.861,77.165
03.01.2023 10:00,132.379,132.379,95.628
03.01.2023 11:00,112.801,112.801,77.163
03.01.2023 12:00,97.879,97.879,40.234
03.01.2023 13:00,97.031,97.031,58.698
03.01.2023 14:00,118.343,118.343,95.628
03.01.2023 15:00,103.602,103.602,77.163
03.01.2023 16:00,89.319,89.319,58.698
03.01.2023 17:00,65.063,65.063,21.769
03.01.2023 18:00,48.04,48.04,11.539
03.01.2023 19:00,52.936,52.936,11.539
03.01.2023 20:00,35.618,35.618,11.539
03.01.2023 21:00,19.948,19.948,11.539
03.01.2023 22:00,19.449,19.449,11.539
03.01.2023 23:00,15.875,15.875,11.539
04.01.2023 00:00,15.607,15.607,11.539
04.01.2023 01:00,15.622,15.622,11.539
04.01.2023 02:00,15.588,15.588,11.539
04.01.2023 03:00,15.843,15.843,11.539
04.01.2023 04:00,15.845,15.845,11.539
04.01.2023 05:00,18.941,18.941,11.539
04.01.2023 06:00,60.842,60.842,11.539
04.01.2023 07:00,45.44,45.44,21.769
04.01.2023 08:00,43.569,43.569,58.698
04.01.2023 09:00,42.474,42.474,77.165
04.01.2023 10:00,40.584,40.584,95.628
04.01.2023 11:00,39.35,39.35,77.163
04.01.2023 12:00,52.427,52.427,40.234
04.01.2023 13:00,38.123,38.123,58.698
04.01.2023 14:00,35.435,35.435,95.628
04.01.2023 15:00,35.231,35.231,77.163
04.01.2023 16:00,35.379,35.379,58.698
04.01.2023 17:00,36.912,36.912,21.769
04.01.2023 18:00,49.162,49.162,11.539
04.01.2023 19:00,53.371,53.371,11.539
04.01.2023 20:00,35.349,35.349,11.539
04.01.2023 21:00,19.73,19.73,11.539
04.01.2023 22:00,19.432,19.432,11.539
04.01.2023 23:00,15.841,15.841,11.539
05.01.2023 00:00,15.653,15.653,11.539
05.01.2023 01:00,15.602,15.602,11.539
05.01.2023 02:00,15.582,15.582,11.539
05.01.2023 03:00,15.795,15.795,11.539
05.01.2023 04:00,15.797,15.797,11.539
05.01.2023 05:00,18.797,18.797,11.539
05.01.2023 06:00,57.983,57.983,11.539
05.01.2023 07:00,44.838,44.838,21.769
05.01.2023 08:00,42.128,42.128,58.698
05.01.2023 09:00,41.532,41.532,77.165
05.01.2023 10:00,40.037,40.037,95.628
05.01.2023 11:00,38.418,38.418,77.163
05.01.2023 12:00,51.691,51.691,40.234
05.01.2023 13:00,36.35,36.35,58.698
05.01.2023 14:00,33.391,33.391,95.628
05.01.2023 15:00,33.421,33.421,77.163
05.01.2023 16:00,32.58,32.58,58.698
05.01.2023 17:00,34.333,34.333,21.769
05.01.2023 18:00,46.272,46.272,11.539
05.01.2023 19:00,51.823,51.823,11.539
05.01.2023 20:00,33.402,33.402,11.539
05.01.2023 21:00,19.674,19.674,11.539
05.01.2023 22:00,19.313,19.313,11.539
05.01.2023 23:00,15.832,15.832,11.539
06.01.2023 00:00,15.599,15.599,11.539
06.01.2023 01:00,15.587,15.587,11.539
06.01.2023 02:00,15.946,15.946,11.539
