result_key,surface_power [wh],runtime [sec]
rows_10_a1,26322.23,0.02
rows_10_a2,26322.23,0.17
rows_10_a3,24727.1,1.31
rows_10_a4,21536.85,1.29
rows_10_b1,24043.48,1.24
rows_10_b2,24803.06,111.6
rows_15_a1,26322.23,0.02
rows_15_a2,26322.23,0.16
rows_15_a3,24671.83,1.34
rows_15_a4,19060.45,1.34
rows_15_b1,23964.51,1.12
rows_15_b2,23964.51,110.97
rows_20_a1,26322.23,0.02
rows_20_a2,26322.23,0.19
rows_20_a3,22910.87,1.3
rows_20_a4,17793.83,1.3
rows_20_b1,23885.54,1.09
rows_20_b2,22849.95,95.83
rows_25_a1,26322.23,0.02
rows_25_a2,26322.23,0.16
rows_25_a3,22800.32,1.3
rows_25_a4,16284.77,1.29
rows_25_b1,21290.92,1.09
rows_25_b2,21710.2,93.67
rows_30_a1,26322.23,0.02
rows_30_a2,26322.23,0.16
rows_30_a3,20873.53,1.3
rows_30_a4,14698.33,1.29
rows_30_b1,21132.99,1.08
rows_30_b2,21132.99,89.98
rows_35_a1,26322.23,0.02
rows_35_a2,16964.68,0.16
rows_35_a3,20707.7,1.3
rows_35_a4,13595.96,1.29
rows_35_b1,20975.06,1.09
rows_35_b2,19638.26,92.75
rows_40_a1,26322.23,0.02
rows_40_a2,16688.29,0.16
rows_40_a3,18615.08,1.3
rows_40_a4,12449.36,1.29
rows_40_b1,18064.57,1.08
rows_40_b2,18523.33,91.04
rows_45_a1,26322.23,0.02
rows_45_a2,16411.91,0.16
rows_45_a3,18393.97,1.29
rows_45_a4,11258.54,1.29
rows_45_b1,17827.67,1.08
rows_45_b2,17355.75,96.07
rows_50_a1,26322.23,0.02
rows_50_a2,16135.53,0.16
rows_50_a3,16135.53,1.29
rows_50_a4,9616.04,1.29
rows_50_b1,17590.77,1.08
rows_50_b2,16135.53,90.29
rows_55_a1,5396.06,0.02
rows_55_a2,15859.14,0.16
rows_55_a3,13766.53,1.29
rows_55_a4,8534.98,1.28
rows_55_b1,14364.42,1.08
rows_55_b2,14862.66,89.31
rows_60_a1,4843.29,0.02
rows_60_a2,15582.76,0.16
rows_60_a3,13434.87,1.29
rows_60_a4,7635.55,1.28
rows_60_b1,14048.55,1.08
rows_60_b2,13537.15,87.62
rows_65_a1,4290.52,0.02
rows_65_a2,15306.38,0.16
rows_65_a3,10900.04,1.29
rows_65_a4,6934.33,1.28
rows_65_b1,10585.3,1.08
rows_65_b2,12158.99,88.77
rows_70_a1,3737.76,0.02
rows_70_a2,3737.76,0.16
rows_70_a3,10513.1,1.29
rows_70_a4,6222.05,1.28
rows_70_b1,10190.46,1.08
rows_70_b2,10190.46,87.58
rows_75_a1,3083.07,0.02
rows_75_a2,3083.07,0.16
rows_75_a3,7730.9,1.29
rows_75_a4,5174.59,1.28
rows_75_b1,9722.83,1.07
rows_75_b2,9169.52,90.18
rows_80_a1,2105.78,0.02
rows_80_a2,2105.78,0.16
rows_80_a3,6949.07,1.29
rows_80_a4,4043.09,1.34
rows_80_b1,5565.27,1.07
rows_80_b2,6718.44,88.56
rows_85_a1,1314.22,0.02
rows_85_a2,1314.22,0.16
rows_85_a3,3815.02,1.29
rows_85_a4,3064.78,1.28
rows_85_b1,4886.79,1.07
rows_85_b2,4886.79,94.0
rows_90_a1,708.38,0.02
rows_90_a2,708.38,0.16
rows_90_a3,3269.77,1.32
rows_90_a4,2501.35,1.29
rows_90_b1,4367.5,1.09
rows_90_b2,3147.8,92.94
columns_10_a1,26322.23,0.02
columns_10_a2,26322.23,0.16
columns_10_a3,24053.25,1.31
columns_10_a4,23145.66,1.3
columns_10_b1,24431.42,1.09
columns_10_b2,24053.25,91.82
columns_15_a1,26322.23,0.02
columns_15_a2,22525.25,0.16
columns_15_a3,24044.04,1.31
columns_15_a4,21993.67,1.3
columns_15_b1,22525.25,1.09
columns_15_b2,22904.95,92.12
columns_20_a1,26322.23,0.02
columns_20_a2,22509.89,0.16
columns_20_a3,21747.43,1.31
columns_20_a4,20832.47,1.36
columns_20_b1,22509.89,1.12
columns_20_b2,21747.43,94.84
columns_25_a1,26322.23,0.02
columns_25_a2,22494.54,0.16
columns_25_a3,19432.39,1.34
columns_25_a4,19662.05,1.3
columns_25_b1,20580.69,1.09
columns_25_b2,20580.69,91.92
columns_30_a1,26322.23,0.02
columns_30_a2,18627.43,0.18
columns_30_a3,19396.91,1.48
columns_30_a4,18473.54,1.55
columns_30_b1,18627.43,1.18
columns_30_b2,19396.91,115.7
columns_35_a1,26322.23,0.02
columns_35_a2,18567.37,0.16
