result_key,surface_power [wh],runtime [sec]
rows_10_a1,26322.23,0.02
rows_10_a2,26322.23,0.17
rows_10_a3,24727.1,1.31
rows_10_a4,21536.85,1.29
rows_10_b1,24043.48,1.24
rows_10_b2,24803.06,111.6
rows_10_c1s,1020.0,1.52
rows_10_c1c,1020.0,1.52
rows_10_c1m,18046.35600000001,1.52
rows_10_c1s,1020.0,68.14
rows_10_c1c,1020.0,68.14
rows_10_c1m,18046.35600000001,68.14
rows_10_c2s,1020.0,1.2
rows_10_c2c,1020.0,1.2
rows_10_c2m,18046.35600000001,1.2
rows_10_c2s,1020.0,66.79
rows_10_c2c,1020.0,66.79
rows_10_c2m,18046.35600000001,66.79
rows_15_a1,26322.23,0.02
rows_15_a2,26322.23,0.16
rows_15_a3,24671.83,1.34
rows_15_a4,19060.45,1.34
rows_15_b1,23964.51,1.12
rows_15_b2,23964.51,110.97
rows_15_c1s,965.0,1.39
rows_15_c1c,965.0,1.39
rows_15_c1m,17985.876000000004,1.39
rows_15_c1s,965.0,65.32
rows_15_c1c,965.0,65.32
rows_15_c1m,17985.876000000004,65.32
rows_15_c2s,965.0,1.16
rows_15_c2c,965.0,1.16
rows_15_c2m,17985.876000000004,1.16
rows_15_c2s,965.0,64.88
rows_15_c2c,965.0,64.88
rows_15_c2m,17985.876000000004,64.88
rows_20_a1,26322.23,0.02
rows_20_a2,26322.23,0.19
rows_20_a3,22910.87,1.3
rows_20_a4,17793.83,1.3
rows_20_b1,23885.54,1.09
rows_20_b2,22849.95,95.83
rows_20_c1s,909.0,1.45
rows_20_c1c,909.0,1.45
rows_20_c1m,17925.372,1.45
rows_20_c1s,909.0,65.05
rows_20_c1c,909.0,65.05
rows_20_c1m,17925.372,65.05
rows_20_c2s,909.0,1.16
rows_20_c2c,909.0,1.16
rows_20_c2m,17925.372,1.16
rows_20_c2s,909.0,64.83
rows_20_c2c,909.0,64.83
rows_20_c2m,17925.372,64.83
rows_25_a1,26322.23,0.02
rows_25_a2,26322.23,0.16
rows_25_a3,22800.32,1.3
rows_25_a4,16284.77,1.29
rows_25_b1,21290.92,1.09
rows_25_b2,21710.2,93.67
rows_25_c1s,854.0,1.31
rows_25_c1c,854.0,1.31
rows_25_c1m,15974.003999999995,1.31
rows_25_c1s,854.0,65.11
rows_25_c1c,854.0,65.11
rows_25_c1m,15974.003999999995,65.11
rows_25_c2s,854.0,1.15
rows_25_c2c,854.0,1.15
rows_25_c2m,15974.003999999995,1.15
rows_25_c2s,854.0,64.89
rows_25_c2c,854.0,64.89
rows_25_c2m,15974.003999999995,64.89
rows_30_a1,26322.23,0.02
rows_30_a2,26322.23,0.16
rows_30_a3,20873.53,1.3
rows_30_a4,14698.33,1.29
rows_30_b1,21132.99,1.08
rows_30_b2,21132.99,89.98
rows_30_c1s,798.0,1.39
rows_30_c1c,798.0,1.39
rows_30_c1m,15852.947999999999,1.39
rows_30_c1s,798.0,65.29
rows_30_c1c,798.0,65.29
rows_30_c1m,15852.947999999999,65.29
rows_30_c2s,798.0,1.15
rows_30_c2c,798.0,1.15
rows_30_c2m,15852.947999999999,1.15
rows_30_c2s,798.0,64.9
rows_30_c2c,798.0,64.9
rows_30_c2m,15852.947999999999,64.9
rows_35_a1,26322.23,0.02
rows_35_a2,16964.68,0.16
rows_35_a3,20707.7,1.3
rows_35_a4,13595.96,1.29
rows_35_b1,20975.06,1.09
rows_35_b2,19638.26,92.75
rows_35_c1s,743.0,1.37
rows_35_c1c,743.0,1.37
rows_35_c1m,15731.891999999998,1.37
rows_35_c1s,743.0,64.93
rows_35_c1c,743.0,64.93
rows_35_c1m,15731.891999999998,64.93
rows_35_c2s,743.0,1.15
rows_35_c2c,743.0,1.15
rows_35_c2m,15731.891999999998,1.15
rows_35_c2s,743.0,64.77
rows_35_c2c,743.0,64.77
rows_35_c2m,15731.891999999998,64.77
rows_40_a1,26322.23,0.02
rows_40_a2,16688.29,0.16
rows_40_a3,18615.08,1.3
rows_40_a4,12449.36,1.29
rows_40_b1,18064.57,1.08
rows_40_b2,18523.33,91.04
rows_40_c1s,687.0,1.29
rows_40_c1c,687.0,1.29
rows_40_c1m,13538.435999999996,1.29
rows_40_c1s,687.0,65.26
rows_40_c1c,687.0,65.26
rows_40_c1m,13538.435999999996,65.26
rows_40_c2s,687.0,1.16
rows_40_c2c,687.0,1.16
rows_40_c2m,13538.435999999996,1.16
rows_40_c2s,687.0,64.69
rows_40_c2c,687.0,64.69
rows_40_c2m,13538.435999999996,64.69
rows_45_a1,26322.23,0.02
