result_key,surface_power [wh],runtime [sec]
rows_10_a1,5264.45,0.02
rows_10_a2,5264.45,0.16
rows_10_a3,4868.76,1.3
rows_10_a4,4077.38,1.31
rows_10_b1,4699.18,1.07
rows_10_b2,4887.6,95.68
rows_10_c1s,3495.0,1.36
rows_10_c1c,2682.0,1.36
rows_10_c1m,3535.643999999997,1.36
rows_10_c2s,3219.0,63.83
rows_10_c2c,2461.0,63.83
rows_10_c2m,3237.2029999999945,63.83
rows_15_a1,5264.45,0.02
rows_15_a2,5264.45,0.16
rows_15_a3,4855.19,1.27
rows_15_a4,3463.73,1.27
rows_15_b1,4679.8,1.07
rows_15_b2,4679.8,83.02
rows_15_c1s,3484.0,1.25
rows_15_c1c,2674.0,1.25
rows_15_c1m,3523.943999999996,1.25
rows_15_c2s,3183.0,64.01
rows_15_c2c,2442.0,64.01
rows_15_c2m,3197.810999999996,64.01
rows_20_a1,5264.45,0.02
rows_20_a2,5264.45,0.16
rows_20_a3,4420.29,1.27
rows_20_a4,3154.05,1.28
rows_20_b1,4661.48,1.07
rows_20_b2,4405.21,87.63
rows_20_c1s,3473.0,1.27
rows_20_c1c,2665.0,1.27
rows_20_c1m,3512.2559999999976,1.27
rows_20_c2s,2875.0,64.14
rows_20_c2c,2216.0,64.14
rows_20_c2m,2883.7999999999975,64.14
rows_25_a1,5264.45,0.02
rows_25_a2,5264.45,0.16
rows_25_a3,4396.13,1.29
rows_25_a4,2789.73,1.28
rows_25_b1,4023.99,1.07
rows_25_b2,4127.36,90.14
rows_25_c1s,3046.0,1.32
rows_25_c1c,2390.0,1.32
rows_25_c1m,3121.3319999999994,1.32
rows_25_c2s,2836.0,64.53
rows_25_c2c,2211.0,64.53
rows_25_c2m,2866.556999999997,64.53
rows_30_a1,5264.45,0.02
rows_30_a2,5264.45,0.16
rows_30_a3,3927.95,1.28
rows_30_a4,2413.26,1.28
rows_30_b1,3991.59,1.07
rows_30_b2,3991.59,88.66
rows_30_c1s,3025.0,1.26
rows_30_c1c,2374.0,1.26
rows_30_c1m,3098.0759999999987,1.26
rows_30_c2s,2785.0,64.4
